id,name,generation,types,height_dm,weight_hg,base_experience,hp,attack,defense,special_attack,special_defense,speed,total_stats,abilities,hidden_ability,species_color,species_shape,habitat,growth_rate,capture_rate,base_happiness,hatch_counter,is_baby,is_legendary,is_mythical,has_gender_differences,gender_rate,forms_switchable,evolution_chain_id,evolves_from,flavor_text_en,sprite_url
1,bulbasaur,1,"grass,poison",7,69,64,45,49,49,65,65,45,318,overgrow,chlorophyll,green,quadruped,grassland,medium-slow,45,70,20,False,False,False,False,1,False,1,,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png
2,ivysaur,1,"grass,poison",10,130,142,60,62,63,80,80,60,405,overgrow,chlorophyll,green,quadruped,grassland,medium-slow,45,70,20,False,False,False,False,1,False,1,bulbasaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png
3,venusaur,1,"grass,poison",20,1000,236,80,82,83,100,100,80,525,overgrow,chlorophyll,green,quadruped,grassland,medium-slow,45,70,20,False,False,False,True,1,True,1,ivysaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png
4,charmander,1,fire,6,85,62,39,52,43,60,50,65,309,blaze,solar-power,red,upright,mountain,medium-slow,45,70,20,False,False,False,False,1,False,2,,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png
5,charmeleon,1,fire,11,190,142,58,64,58,80,65,80,405,blaze,solar-power,red,upright,mountain,medium-slow,45,70,20,False,False,False,False,1,False,2,charmander,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png
6,charizard,1,"fire,flying",17,905,240,78,84,78,109,85,100,534,blaze,solar-power,red,upright,mountain,medium-slow,45,70,20,False,False,False,False,1,True,2,charmeleon,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png
7,squirtle,1,water,5,90,63,44,48,65,50,64,43,314,torrent,rain-dish,blue,upright,waters-edge,medium-slow,45,70,20,False,False,False,False,1,False,3,,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png
8,wartortle,1,water,10,225,142,59,63,80,65,80,58,405,torrent,rain-dish,blue,upright,waters-edge,medium-slow,45,70,20,False,False,False,False,1,False,3,squirtle,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png
9,blastoise,1,water,16,855,239,79,83,100,85,105,78,530,torrent,rain-dish,blue,upright,waters-edge,medium-slow,45,70,20,False,False,False,False,1,True,3,wartortle,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png
10,caterpie,1,bug,3,29,39,45,30,35,20,20,45,195,shield-dust,run-away,green,armor,forest,medium,255,70,15,False,False,False,False,4,False,4,,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png
11,metapod,1,bug,7,99,72,50,20,55,25,25,30,205,shed-skin,,green,squiggle,forest,medium,120,70,15,False,False,False,False,4,False,4,caterpie,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png
12,butterfree,1,"bug,flying",11,320,178,60,45,50,90,80,70,395,compound-eyes,tinted-lens,white,bug-wings,forest,medium,45,70,15,False,False,False,True,4,False,4,metapod,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png
