name,id,accuracy,pp,power,priority,type,generation,short_descripton,damage_class,min_hits,max_hits
Pound,1,100.0,35,40.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Karate Chop,2,100.0,25,50.0,0,Fighting,Generation I,Has an increased chance for a critical hit.,Physical,1,1
Double Slap,3,85.0,10,15.0,0,Normal,Generation I,Hits 2-5 times in one turn.,Physical,2,5
Comet Punch,4,85.0,15,18.0,0,Normal,Generation I,Hits 2-5 times in one turn.,Physical,2,5
Mega Punch,5,85.0,20,80.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Pay Day,6,100.0,20,40.0,0,Normal,Generation I,Scatters money on the ground worth five times the user's level.,Physical,1,1
Fire Punch,7,100.0,15,75.0,0,Fire,Generation I,Has a $effect_chance% chance to burn the target.,Physical,1,1
Ice Punch,8,100.0,15,75.0,0,Ice,Generation I,Has a $effect_chance% chance to freeze the target.,Physical,1,1
Thunder Punch,9,100.0,15,75.0,0,Electric,Generation I,Has a $effect_chance% chance to paralyze the target.,Physical,1,1
Scratch,10,100.0,35,40.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Vice Grip,11,100.0,30,55.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Guillotine,12,30.0,5,,0,Normal,Generation I,Causes a one-hit KO.,Physical,1,1
Razor Wind,13,100.0,10,80.0,0,Normal,Generation I,Requires a turn to charge before attacking.,Special,1,1
Swords Dance,14,,20,,0,Normal,Generation I,Raises the user's Attack by two stages.,Status,1,1
Cut,15,95.0,30,50.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Gust,16,100.0,35,40.0,0,Flying,Generation I,Inflicts regular damage and can hit Pokémon in the air.,Special,1,1
Wing Attack,17,100.0,35,60.0,0,Flying,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Whirlwind,18,,20,,-6,Normal,Generation I,Immediately ends wild battles.  Forces trainers to switch Pokémon.,Status,1,1
Fly,19,95.0,15,90.0,0,Flying,Generation I,"User flies high into the air, dodging all attacks, and hits next turn.",Physical,1,1
Bind,20,85.0,20,15.0,0,Normal,Generation I,Prevents the target from fleeing and inflicts damage for 2-5 turns.,Physical,1,1
Slam,21,75.0,20,80.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Vine Whip,22,100.0,25,45.0,0,Grass,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Stomp,23,100.0,20,65.0,0,Normal,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical,1,1
Double Kick,24,100.0,30,30.0,0,Fighting,Generation I,Hits twice in one turn.,Physical,2,2
Mega Kick,25,75.0,5,120.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Jump Kick,26,95.0,10,100.0,0,Fighting,Generation I,"If the user misses, it takes half the damage it would have inflicted in recoil.",Physical,1,1
Rolling Kick,27,85.0,15,60.0,0,Fighting,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical,1,1
Sand Attack,28,100.0,15,,0,Ground,Generation I,Lowers the target's accuracy by one stage.,Status,1,1
Headbutt,29,100.0,15,70.0,0,Normal,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical,1,1
Horn Attack,30,100.0,25,65.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Fury Attack,31,85.0,20,15.0,0,Normal,Generation I,Hits 2-5 times in one turn.,Physical,2,5
Horn Drill,32,30.0,5,,0,Normal,Generation I,Causes a one-hit KO.,Physical,1,1
Tackle,33,100.0,35,40.0,0,Normal,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Body Slam,34,100.0,15,85.0,0,Normal,Generation I,Has a $effect_chance% chance to paralyze the target.,Physical,1,1
Wrap,35,90.0,20,15.0,0,Normal,Generation I,Prevents the target from fleeing and inflicts damage for 2-5 turns.,Physical,1,1
Take Down,36,85.0,20,90.0,0,Normal,Generation I,User receives 1/4 the damage it inflicts in recoil.,Physical,1,1
Thrash,37,100.0,10,120.0,0,Normal,Generation I,"Hits every turn for 2-3 turns, then confuses the user.",Physical,1,1
Double Edge,38,100.0,15,120.0,0,Normal,Generation I,User receives 1/3 the damage inflicted in recoil.,Physical,1,1
Tail Whip,39,100.0,30,,0,Normal,Generation I,Lowers the target's Defense by one stage.,Status,1,1
Poison Sting,40,100.0,35,15.0,0,Poison,Generation I,Has a $effect_chance% chance to poison the target.,Physical,1,1
Twineedle,41,100.0,20,25.0,0,Bug,Generation I,Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,Physical,2,2
Pin Missile,42,95.0,20,25.0,0,Bug,Generation I,Hits 2-5 times in one turn.,Physical,2,5
Leer,43,100.0,30,,0,Normal,Generation I,Lowers the target's Defense by one stage.,Status,1,1
Bite,44,100.0,25,60.0,0,Dark,Generation I,Has a $effect_chance% chance to make the target flinch.,Physical,1,1
Growl,45,100.0,40,,0,Normal,Generation I,Lowers the target's Attack by one stage.,Status,1,1
Roar,46,,20,,-6,Normal,Generation I,Immediately ends wild battles.  Forces trainers to switch Pokémon.,Status,1,1
Sing,47,55.0,15,,0,Normal,Generation I,Puts the target to sleep.,Status,1,1
Supersonic,48,55.0,20,,0,Normal,Generation I,Confuses the target.,Status,1,1
Sonic Boom,49,90.0,20,,0,Normal,Generation I,Inflicts 20 points of damage.,Special,1,1
Disable,50,100.0,20,,0,Normal,Generation I,Disables the target's last used move for 1-8 turns.,Status,1,1
Acid,51,100.0,30,40.0,0,Poison,Generation I,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Special,1,1
Ember,52,100.0,25,40.0,0,Fire,Generation I,Has a $effect_chance% chance to burn the target.,Special,1,1
Flamethrower,53,100.0,15,90.0,0,Fire,Generation I,Has a $effect_chance% chance to burn the target.,Special,1,1
Mist,54,,30,,0,Ice,Generation I,Protects the user's stats from being changed by enemy moves.,Status,1,1
Water Gun,55,100.0,25,40.0,0,Water,Generation I,Inflicts regular damage with no additional effect.,Special,1,1
Hydro Pump,56,80.0,5,110.0,0,Water,Generation I,Inflicts regular damage with no additional effect.,Special,1,1
Surf,57,100.0,15,90.0,0,Water,Generation I,Inflicts regular damage and can hit Dive users.,Special,1,1
Ice Beam,58,100.0,10,90.0,0,Ice,Generation I,Has a $effect_chance% chance to freeze the target.,Special,1,1
Blizzard,59,70.0,5,110.0,0,Ice,Generation I,Has a $effect_chance% chance to freeze the target.,Special,1,1
Psybeam,60,100.0,20,65.0,0,Psychic,Generation I,Has a $effect_chance% chance to confuse the target.,Special,1,1
Bubble Beam,61,100.0,20,65.0,0,Water,Generation I,Has a $effect_chance% chance to lower the target's Speed by one stage.,Special,1,1
Aurora Beam,62,100.0,20,65.0,0,Ice,Generation I,Has a $effect_chance% chance to lower the target's Attack by one stage.,Special,1,1
Hyper Beam,63,90.0,5,150.0,0,Normal,Generation I,User foregoes its next turn to recharge.,Special,1,1
Peck,64,100.0,35,35.0,0,Flying,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Drill Peck,65,100.0,20,80.0,0,Flying,Generation I,Inflicts regular damage with no additional effect.,Physical,1,1
Submission,66,80.0,20,80.0,0,Fighting,Generation I,User receives 1/4 the damage it inflicts in recoil.,Physical,1,1
